Name,value_1,value_2,value_3,value_4,value_5,value_6
Background,1057,995,1013,1029,958,973
Opened,176014,177302,176528,177214,176901,177001
Al_1,135146,134298,134752,133969,134603,135240
Al_2,96290,96199,95958,97087,96495,96520
Al_3,68242,67480,68054,68233,68127,67907
Al_4,46972,46691,47237,46832,46377,46874
Al_5,31730,32015,31854,31964,32135,32204
Al_6,21592,21633,21621,21767,21542,21614
Al_7,15235,15088,14992,15036,15081,15151
Fe_1,122888,122977,123174,123500,123413,124101
Fe_2,80937,81223,81329,80901,80686,81219
Fe_3,53155,53603,53184,53160,53467,53100
Fe_4,33705,34145,34152,33792,33982,33917
Fe_5,21943,22064,22038,21695,21949,22015
Fe_6,14132,14178,13939,14169,14012,13802
Fe_7,9240,9127,9422,9364,9330,9392
Pb_1,128795,129227,128265,128245,128434,128537
Pb_2,98722,98153,98426,98401,98307,98302
Pb_3,77558,76791,77076,77013,76925,77416
Pb_4,60200,60092,60213,60072,59770,60100
Pb_5,37489,37053,37408,37011,37406,37319
Pb_6,24466,24237,24545,24125,24431,24546
Pb_7,16847,16578,16519,16688,16737,16964
