T,N,x,N0
99.86,1418,0,1419.987983
99.86,1437,1,1439.01462
100.101,1548,2,1546.438098
99.677,1534,3,1538.970876
100.277,1560,4,1555.690737
102.406,1670,5,1630.763822
99.821,1412,6,1414.532012
91.961,964,7,1048.270462
100.145,245,8,244.6452644
102.857,52,9,50.55562577
111.503,34,10,30.49245312
100.786,35,11,34.72704542
104.281,25,12,23.97368648
101.581,19,13,18.70428525
105.827,28,14,26.45827624
101.08,18,15,17.80767709
107.886,1666,4,1544.222605
98.327,1580,4.5,1606.883155
99.392,1564,5,1573.567289
101.799,1532,5.5,1504.926375
100.804,1489,6,1477.123924
99.694,1217,6.5,1220.73545
