V,I
0.01,0
2.02,5
2.45,6.5
3.18,9
3.8,10
4.54,15
5.07,17.2
5.67,19.2
6.6,22.5
7.2,24.5
7.88,27
8.46,28.5
9.26,31
9.88,33
11.22,36.5
12.15,38.5
13.45,42
15.2,47.5
15.83,49
16.2,52
17.6,53
18.94,55
20.84,54
21.26,53
21.8,52.5
22.13,52
23.01,49
24.73,46
26.16,48
27.8,53.5
28.85,57
30.85,65
31.68,68
32.55,72
33.2,74
13.73,45
14.96,47.5
16.65,51
18.04,54
19.39,54.5
21.12,52
22.59,47.5
23.7,44.5
26.17,45
27.19,48
28.12,51
34.42,74
34.95,76
35.65,78
36.56,80
38.17,82
40.91,80
42.54,79
44.72,79.5
46.4,81
47.79,83
