v_minus,I_minus,v_plus,I_plus
4.89,774.9,5.13,770.9
4.74,768.3,5.01,771.9
4.61,777,4.87,765
4.3,781.7,4.54,776.9
4.45,783.4,4.68,774.9
4.14,787.3,4.38,765.8
3.94,772,4.13,747.5
3.79,777.7,4.02,751.8
3.55,786.6,3.76,749.8
3.45,785.2,3.62,766.9
3.24,784.1,3.41,736.5
2.99,768.2,3.15,715
2.79,779.5,2.92,690.1
2.58,761.5,2.73,672
2.27,766,2.42,666
2.07,774.3,2.2,690.5
1.87,776.4,1.96,712.1
1.5,771.7,1.56,772.2
1.49,772.8,1.56,762.3
1.5,759.9,1.6,750.4
1.44,771.8,1.52,757.4
1.21,758.1,1.26,763.6
0.84,777.2,0.89,773.6
