v_minus,I_minus,v_plus,I_plus
4.9,1572.1,5.14,1582.4
4.74,1574.8,5.01,1594
4.58,1568.8,4.83,1567.5
4.48,1566.1,4.75,1568.2
4.32,1582.4,4.56,1582
4.13,1567.4,4.34,1579.3
3.95,1569.1,4.19,1575.6
3.71,1573.4,3.92,1569.6
3.53,1569.9,3.72,1562.1
3.41,1571,3.61,1546.4
3.23,1588.3,3.42,1543.1
3,1586.1,3.14,1540.2
2.78,1556.4,2.93,1460.4
2.53,1564,2.67,1413.8
2.21,1572.5,2.36,1438.6
1.86,1563.7,1.96,1508
1.5,1573.5,1.56,1558.8
1.49,1570.8,1.55,1540.1
1.46,1562.1,1.55,1578.4
1.21,1572.2,1.28,1561.2
0.89,1570.5,0.94,1577.6
